county,year,varname,value_b2
Aitkin,2012,rank_adj_supply_any,46
Aitkin,2012,rank_adj_supply_ccc,34
Aitkin,2012,rank_adj_supply_hr,
Aitkin,2012,rank_adj_supply_public,43
Aitkin,2012,rank_totcost_any,61
Aitkin,2012,rank_totcost_ccc,65
Aitkin,2012,rank_totcost_hr,
Aitkin,2012,rank_totcost_public,76
Aitkin,2012,rank_quality_premium,
Aitkin,2013,rank_adj_supply_any,29
Aitkin,2013,rank_adj_supply_ccc,35
Aitkin,2013,rank_adj_supply_hr,28
Aitkin,2013,rank_adj_supply_public,36
Aitkin,2013,rank_totcost_any,59
Aitkin,2013,rank_totcost_ccc,31
Aitkin,2013,rank_totcost_hr,24
Aitkin,2013,rank_totcost_public,73
Aitkin,2013,rank_quality_premium,19
Aitkin,2014,rank_adj_supply_any,5
Aitkin,2014,rank_adj_supply_ccc,6
Aitkin,2014,rank_adj_supply_hr,3
Aitkin,2014,rank_adj_supply_public,19
Aitkin,2014,rank_totcost_any,57
Aitkin,2014,rank_totcost_ccc,37
Aitkin,2014,rank_totcost_hr,37
Aitkin,2014,rank_totcost_public,65
Aitkin,2014,rank_quality_premium,32
Aitkin,2015,rank_adj_supply_any,33
Aitkin,2015,rank_adj_supply_ccc,74
Aitkin,2015,rank_adj_supply_hr,51
Aitkin,2015,rank_adj_supply_public,13
Aitkin,2015,rank_totcost_any,44
Aitkin,2015,rank_totcost_ccc,54
Aitkin,2015,rank_totcost_hr,29
Aitkin,2015,rank_totcost_public,59
Aitkin,2015,rank_quality_premium,20
Aitkin,2016,rank_adj_supply_any,40
Aitkin,2016,rank_adj_supply_ccc,73
Aitkin,2016,rank_adj_supply_hr,23
Aitkin,2016,rank_adj_supply_public,15
Aitkin,2016,rank_totcost_any,42
Aitkin,2016,rank_totcost_ccc,67
Aitkin,2016,rank_totcost_hr,35
Aitkin,2016,rank_totcost_public,71
Aitkin,2016,rank_quality_premium,45
Aitkin,2017,rank_adj_supply_any,39
Aitkin,2017,rank_adj_supply_ccc,71
Aitkin,2017,rank_adj_supply_hr,36
Aitkin,2017,rank_adj_supply_public,8
Aitkin,2017,rank_totcost_any,18
Aitkin,2017,rank_totcost_ccc,68
Aitkin,2017,rank_totcost_hr,29
Aitkin,2017,rank_totcost_public,55
Aitkin,2017,rank_quality_premium,23
Aitkin,2018,rank_adj_supply_any,53
Aitkin,2018,rank_adj_supply_ccc,73
Aitkin,2018,rank_adj_supply_hr,35
Aitkin,2018,rank_adj_supply_public,13
Aitkin,2018,rank_totcost_any,33
Aitkin,2018,rank_totcost_ccc,47
Aitkin,2018,rank_totcost_hr,41
Aitkin,2018,rank_totcost_public,61
Aitkin,2018,rank_quality_premium,38
Anoka,2012,rank_adj_supply_any,50
Anoka,2012,rank_adj_supply_ccc,11
Anoka,2012,rank_adj_supply_hr,
Anoka,2012,rank_adj_supply_public,72
Anoka,2012,rank_totcost_any,81
Anoka,2012,rank_totcost_ccc,41
Anoka,2012,rank_totcost_hr,
Anoka,2012,rank_totcost_public,15
Anoka,2012,rank_quality_premium,
Anoka,2013,rank_adj_supply_any,60
Anoka,2013,rank_adj_supply_ccc,8
Anoka,2013,rank_adj_supply_hr,8
Anoka,2013,rank_adj_supply_public,72
Anoka,2013,rank_totcost_any,81
Anoka,2013,rank_totcost_ccc,78
Anoka,2013,rank_totcost_hr,69
Anoka,2013,rank_totcost_public,37
Anoka,2013,rank_quality_premium,37
Anoka,2014,rank_adj_supply_any,58
Anoka,2014,rank_adj_supply_ccc,12
Anoka,2014,rank_adj_supply_hr,8
Anoka,2014,rank_adj_supply_public,76
Anoka,2014,rank_totcost_any,81
Anoka,2014,rank_totcost_ccc,79
Anoka,2014,rank_totcost_hr,73
Anoka,2014,rank_totcost_public,17
Anoka,2014,rank_quality_premium,35
Anoka,2015,rank_adj_supply_any,65
Anoka,2015,rank_adj_supply_ccc,8
Anoka,2015,rank_adj_supply_hr,8
Anoka,2015,rank_adj_supply_public,83
Anoka,2015,rank_totcost_any,81
Anoka,2015,rank_totcost_ccc,77
Anoka,2015,rank_totcost_hr,78
Anoka,2015,rank_totcost_public,20
Anoka,2015,rank_quality_premium,42
Anoka,2016,rank_adj_supply_any,64
Anoka,2016,rank_adj_supply_ccc,10
Anoka,2016,rank_adj_supply_hr,14
Anoka,2016,rank_adj_supply_public,81
Anoka,2016,rank_totcost_any,81
Anoka,2016,rank_totcost_ccc,50
Anoka,2016,rank_totcost_hr,62
Anoka,2016,rank_totcost_public,13
Anoka,2016,rank_quality_premium,15
Anoka,2017,rank_adj_supply_any,42
Anoka,2017,rank_adj_supply_ccc,10
Anoka,2017,rank_adj_supply_hr,12
Anoka,2017,rank_adj_supply_public,66
Anoka,2017,rank_totcost_any,81
Anoka,2017,rank_totcost_ccc,45
Anoka,2017,rank_totcost_hr,68
Anoka,2017,rank_totcost_public,16
Anoka,2017,rank_quality_premium,49
Anoka,2018,rank_adj_supply_any,60
Anoka,2018,rank_adj_supply_ccc,11
Anoka,2018,rank_adj_supply_hr,7
Anoka,2018,rank_adj_supply_public,79
Anoka,2018,rank_totcost_any,81
Anoka,2018,rank_totcost_ccc,78
Anoka,2018,rank_totcost_hr,76
Anoka,2018,rank_totcost_public,22
Anoka,2018,rank_quality_premium,65
Becker,2012,rank_adj_supply_any,41
Becker,2012,rank_adj_supply_ccc,73
Becker,2012,rank_adj_supply_hr,
Becker,2012,rank_adj_supply_public,14
Becker,2012,rank_totcost_any,43
Becker,2012,rank_totcost_ccc,68
Becker,2012,rank_totcost_hr,
Becker,2012,rank_totcost_public,23
Becker,2012,rank_quality_premium,
Becker,2013,rank_adj_supply_any,39
Becker,2013,rank_adj_supply_ccc,73
Becker,2013,rank_adj_supply_hr,12
Becker,2013,rank_adj_supply_public,16
Becker,2013,rank_totcost_any,45
Becker,2013,rank_totcost_ccc,59
Becker,2013,rank_totcost_hr,14
Becker,2013,rank_totcost_public,52
Becker,2013,rank_quality_premium,12
Becker,2014,rank_adj_supply_any,38
Becker,2014,rank_adj_supply_ccc,66
Becker,2014,rank_adj_supply_hr,11
Becker,2014,rank_adj_supply_public,11
Becker,2014,rank_totcost_any,42
Becker,2014,rank_totcost_ccc,56
Becker,2014,rank_totcost_hr,18
Becker,2014,rank_totcost_public,66
Becker,2014,rank_quality_premium,14
Becker,2015,rank_adj_supply_any,34
